scientific_name;Countries;Country_count;article_count
Acinonyx jubatus;India;43;50
Acinonyx jubatus;Iran;35;50
Acinonyx jubatus;Namibia;5;50
Acinonyx jubatus;South Africa;5;50
Acinonyx jubatus;China;4;50
Acinonyx jubatus;Ethiopia;3;50
Acinonyx jubatus;Nepal;3;50
Acinonyx jubatus;Russia;3;50
Acinonyx jubatus;Algeria;2;50
Acinonyx jubatus;Egypt;2;50
Acinonyx jubatus;Gabon;2;50
Acinonyx jubatus;Madagascar;2;50
Acinonyx jubatus;Uganda;2;50
Acinonyx jubatus;Afghanistan;1;50
Acinonyx jubatus;France;1;50
Acinonyx jubatus;Georgia;1;50
Acinonyx jubatus;Iraq;1;50
Acinonyx jubatus;Israel;1;50
Acinonyx jubatus;Jordan;1;50
Acinonyx jubatus;Kazakhstan;1;50
Acinonyx jubatus;Kuwait;1;50
Acinonyx jubatus;Mali;1;50
Acinonyx jubatus;Netherlands;1;50
Acinonyx jubatus;Oman;1;50
Acinonyx jubatus;Pakistan;1;50
Acinonyx jubatus;Rwanda;1;50
Acinonyx jubatus;Switzerland;1;50
Acinonyx jubatus;Syria;1;50
Acinonyx jubatus;Thailand;1;50
Acinonyx jubatus;Turkey;1;50
Acinonyx jubatus;Turkmenistan;1;50
Acinonyx jubatus;United States;1;50
Acinonyx jubatus;Uzbekistan;1;50
Canis lupus;Mexico;23;124
Canis lupus;Canada;17;124
Canis lupus;Singapore;15;124
Canis lupus;France;14;124
Canis lupus;Australia;13;124
Canis lupus;India;12;124
Canis lupus;Italy;10;124
Canis lupus;China;9;124
Canis lupus;Colombia;8;124
Canis lupus;Bangladesh;6;124
Canis lupus;United States;5;124
Canis lupus;Brazil;4;124
Canis lupus;Guatemala;4;124
Canis lupus;Poland;4;124
Canis lupus;Spain;4;124
Canis lupus;Greenland;3;124
Canis lupus;Indonesia;3;124
Canis lupus;Japan;3;124
Canis lupus;Kenya;3;124
Canis lupus;Lebanon;3;124
Canis lupus;Thailand;3;124
Canis lupus;Belgium;2;124
Canis lupus;Denmark;2;124
Canis lupus;Egypt;2;124
Canis lupus;Estonia;2;124
Canis lupus;Germany;2;124
Canis lupus;Ireland;2;124
Canis lupus;Israel;2;124
Canis lupus;Latvia;2;124
Canis lupus;Malaysia;2;124
Canis lupus;New Zealand;2;124
Canis lupus;Nigeria;2;124
Canis lupus;Norfolk Island;2;124
Canis lupus;Norway;2;124
Canis lupus;Philippines;2;124
Canis lupus;South Korea;2;124
Canis lupus;Vatican;2;124
Canis lupus;Cameroon;1;124
Canis lupus;Georgia;1;124
Canis lupus;Iceland;1;124
Canis lupus;Madagascar;1;124
Canis lupus;Nepal;1;124
Canis lupus;Vietnam;1;124
Ceratotherium simum;Sudan;84;72
Ceratotherium simum;Kenya;73;72
Ceratotherium simum;South Africa;36;72
Ceratotherium simum;Botswana;10;72
Ceratotherium simum;Italy;10;72
Ceratotherium simum;China;9;72
Ceratotherium simum;Germany;9;72
Ceratotherium simum;Uganda;7;72
Ceratotherium simum;Vietnam;7;72
Ceratotherium simum;Indonesia;6;72
Ceratotherium simum;Namibia;6;72
Ceratotherium simum;Australia;4;72
Ceratotherium simum;Chad;4;72
Ceratotherium simum;India;4;72
Ceratotherium simum;Ireland;4;72
Ceratotherium simum;Zimbabwe;4;72
Ceratotherium simum;Nepal;3;72
Ceratotherium simum;Tanzania;3;72
Ceratotherium simum;Colombia;2;72
Ceratotherium simum;Czech Republic;2;72
Ceratotherium simum;Israel;2;72
Ceratotherium simum;Japan;2;72
Ceratotherium simum;Seychelles;2;72
Ceratotherium simum;South Korea;2;72
Ceratotherium simum;Thailand;2;72
Ceratotherium simum;Zambia;2;72
Ceratotherium simum;Argentina;1;72
Ceratotherium simum;Belgium;1;72
Ceratotherium simum;Cambodia;1;72
Ceratotherium simum;Canada;1;72
Ceratotherium simum;Central African Republic;1;72
Ceratotherium simum;Democratic Republic of the Congo;1;72
Ceratotherium simum;France;1;72
Ceratotherium simum;Malawi;1;72
Ceratotherium simum;Malaysia;1;72
Ceratotherium simum;Mexico;1;72
Ceratotherium simum;Mozambique;1;72
Ceratotherium simum;Rwanda;1;72
Ceratotherium simum;Singapore;1;72
Ceratotherium simum;Swaziland;1;72
Ceratotherium simum;Switzerland;1;72
Ceratotherium simum;Yemen;1;72
Crocodylus palustris;India;56;69
Crocodylus palustris;Iran;28;69
Crocodylus palustris;Pakistan;14;69
Crocodylus palustris;Sri Lanka;12;69
Crocodylus palustris;Bangladesh;9;69
Crocodylus palustris;Myanmar;9;69
Crocodylus palustris;Bhutan;4;69
Crocodylus palustris;Australia;3;69
Crocodylus palustris;Nepal;2;69
Crocodylus palustris;Cuba;1;69
Crocodylus palustris;Philippines;1;69
Crocodylus palustris;Seychelles;1;69
Crocodylus palustris;Singapore;1;69
Crocodylus porosus;Australia;52;73
Crocodylus porosus;Singapore;18;73
Crocodylus porosus;India;13;73
Crocodylus porosus;Bangladesh;9;73
Crocodylus porosus;Malaysia;7;73
Crocodylus porosus;Philippines;5;73
Crocodylus porosus;Indonesia;3;73
Crocodylus porosus;Papua New Guinea;2;73
Crocodylus porosus;New Zealand;1;73
Elephas maximus;India;100;71
Elephas maximus;China;58;71
Elephas maximus;Thailand;58;71
Elephas maximus;Laos;48;71
Elephas maximus;Myanmar;26;71
Elephas maximus;Cambodia;18;71
Elephas maximus;Sri Lanka;11;71
Elephas maximus;Pakistan;10;71
Elephas maximus;Nepal;8;71
Elephas maximus;Bhutan;7;71
Elephas maximus;Bangladesh;6;71
Elephas maximus;Belgium;4;71
Elephas maximus;Botswana;4;71
Elephas maximus;Malaysia;3;71
Elephas maximus;Argentina;2;71
Elephas maximus;Brazil;2;71
Elephas maximus;Indonesia;2;71
Elephas maximus;Kenya;2;71
Elephas maximus;Netherlands;2;71
Elephas maximus;South Africa;2;71
Elephas maximus;Uganda;2;71
Elephas maximus;Australia;1;71
Elephas maximus;Canada;1;71
Elephas maximus;Colombia;1;71
Elephas maximus;Germany;1;71
Elephas maximus;Hungary;1;71
Elephas maximus;Ireland;1;71
Elephas maximus;Japan;1;71
Elephas maximus;Mongolia;1;71
Elephas maximus;Namibia;1;71
Elephas maximus;Russia;1;71
Elephas maximus;Singapore;1;71
Elephas maximus;Sweden;1;71
Elephas maximus;Taiwan;1;71
Elephas maximus;Tanzania;1;71
Elephas maximus;Turkey;1;71
Elephas maximus;Vietnam;1;71
Elephas maximus;Zimbabwe;1;71
Eschrichtius robustus;Mexico;81;77
Eschrichtius robustus;Canada;14;77
Eschrichtius robustus;Brazil;3;77
Eschrichtius robustus;Russia;3;77
Eschrichtius robustus;China;2;77
Eschrichtius robustus;New Zealand;2;77
Eschrichtius robustus;Australia;1;77
Eschrichtius robustus;Belarus;1;77
Eschrichtius robustus;Ecuador;1;77
Eschrichtius robustus;Georgia;1;77
Eschrichtius robustus;Indonesia;1;77
Eschrichtius robustus;Malta;1;77
Eschrichtius robustus;Peru;1;77
Eschrichtius robustus;Philippines;1;77
Eschrichtius robustus;Sweden;1;77
Eschrichtius robustus;United States;1;77
Eschrichtius robustus;Vietnam;1;77
Gavialis gangeticus;India;122;86
Gavialis gangeticus;Nepal;71;86
Gavialis gangeticus;China;17;86
Gavialis gangeticus;Pakistan;14;86
Gavialis gangeticus;Bangladesh;13;86
Gavialis gangeticus;Morocco;13;86
Gavialis gangeticus;Australia;8;86
Gavialis gangeticus;Brazil;8;86
Gavialis gangeticus;Bhutan;7;86
Gavialis gangeticus;Madagascar;6;86
Gavialis gangeticus;Cambodia;5;86
Gavialis gangeticus;Colombia;4;86
Gavialis gangeticus;Indonesia;4;86
Gavialis gangeticus;Venezuela;4;86
Gavialis gangeticus;Argentina;3;86
Gavialis gangeticus;Egypt;3;86
Gavialis gangeticus;France;3;86
Gavialis gangeticus;Germany;3;86
Gavialis gangeticus;Myanmar;3;86
Gavialis gangeticus;Peru;3;86
Gavialis gangeticus;Seychelles;3;86
Gavialis gangeticus;South Africa;3;86
Gavialis gangeticus;Afghanistan;2;86
Gavialis gangeticus;Cameroon;2;86
Gavialis gangeticus;Gabon;2;86
Gavialis gangeticus;Italy;2;86
Gavialis gangeticus;Laos;2;86
Gavialis gangeticus;Mauritius;2;86
Gavialis gangeticus;Mexico;2;86
Gavialis gangeticus;Montserrat;2;86
Gavialis gangeticus;Senegal;2;86
Gavialis gangeticus;Sudan;2;86
Gavialis gangeticus;Tanzania;2;86
Gavialis gangeticus;Thailand;2;86
Gavialis gangeticus;Tunisia;2;86
Gavialis gangeticus;Vietnam;2;86
Gavialis gangeticus;Canada;1;86
Gavialis gangeticus;Ethiopia;1;86
Gavialis gangeticus;Honduras;1;86
Gavialis gangeticus;Iran;1;86
Gavialis gangeticus;Japan;1;86
Gavialis gangeticus;Kazakhstan;1;86
Gavialis gangeticus;Netherlands;1;86
Gavialis gangeticus;New Zealand;1;86
Gavialis gangeticus;Norway;1;86
Gavialis gangeticus;Papua New Guinea;1;86
Gavialis gangeticus;Russia;1;86
Gavialis gangeticus;Saudi Arabia;1;86
Gavialis gangeticus;Singapore;1;86
Gavialis gangeticus;South Korea;1;86
Gavialis gangeticus;Sri Lanka;1;86
Gavialis gangeticus;Switzerland;1;86
Gavialis gangeticus;Turkey;1;86
Gavialis gangeticus;United States;1;86
Gavialis gangeticus;Uzbekistan;1;86
Gorilla beringei;Rwanda;201;101
Gorilla beringei;Uganda;146;101
Gorilla beringei;Indonesia;11;101
Gorilla beringei;Gabon;9;101
Gorilla beringei;Cameroon;8;101
Gorilla beringei;China;6;101
Gorilla beringei;Democratic Republic of the Congo;6;101
Gorilla beringei;Nigeria;4;101
Gorilla beringei;South Africa;4;101
Gorilla beringei;Switzerland;4;101
Gorilla beringei;Tanzania;4;101
Gorilla beringei;Thailand;4;101
Gorilla beringei;Germany;3;101
Gorilla beringei;Guinea;3;101
Gorilla beringei;Japan;3;101
Gorilla beringei;Kenya;3;101
Gorilla beringei;Belgium;2;101
Gorilla beringei;Ghana;2;101
Gorilla beringei;Liberia;2;101
Gorilla beringei;Malaysia;2;101
Gorilla beringei;Norway;2;101
Gorilla beringei;Spain;2;101
Gorilla beringei;Sudan;2;101
Gorilla beringei;Angola;1;101
Gorilla beringei;Bermuda;1;101
Gorilla beringei;Canada;1;101
Gorilla beringei;Central African Republic;1;101
Gorilla beringei;Chad;1;101
Gorilla beringei;Equatorial Guinea;1;101
Gorilla beringei;France;1;101
Gorilla beringei;India;1;101
Gorilla beringei;Laos;1;101
Gorilla beringei;Madagascar;1;101
Gorilla beringei;Maldives;1;101
Gorilla beringei;Mali;1;101
Gorilla beringei;Mexico;1;101
Gorilla beringei;New Zealand;1;101
Gorilla beringei;Samoa;1;101
Gorilla beringei;Senegal;1;101
Gorilla beringei;Sierra Leone;1;101
Gorilla beringei;United States;1;101
Gorilla beringei;Vietnam;1;101
Gorilla gorilla;Cameroon;49;67
Gorilla gorilla;Gabon;36;67
Gorilla gorilla;Nigeria;27;67
Gorilla gorilla;Equatorial Guinea;24;67
Gorilla gorilla;Uganda;24;67
Gorilla gorilla;Thailand;15;67
Gorilla gorilla;Angola;14;67
Gorilla gorilla;Rwanda;12;67
Gorilla gorilla;Central African Republic;11;67
Gorilla gorilla;France;4;67
Gorilla gorilla;Brazil;2;67
Gorilla gorilla;Ecuador;2;67
Gorilla gorilla;Germany;2;67
Gorilla gorilla;India;2;67
Gorilla gorilla;Indonesia;2;67
Gorilla gorilla;Kenya;2;67
Gorilla gorilla;Madagascar;2;67
Gorilla gorilla;Bangladesh;1;67
Gorilla gorilla;China;1;67
Gorilla gorilla;Democratic Republic of the Congo;1;67
Gorilla gorilla;Ghana;1;67
Gorilla gorilla;Malaysia;1;67
Gorilla gorilla;Mexico;1;67
Gorilla gorilla;Papua New Guinea;1;67
Gorilla gorilla;Peru;1;67
Gorilla gorilla;Philippines;1;67
Gorilla gorilla;Spain;1;67
Gorilla gorilla;Sweden;1;67
Helarctos malayanus;Malaysia;62;67
Helarctos malayanus;China;42;67
Helarctos malayanus;Indonesia;23;67
Helarctos malayanus;Thailand;20;67
Helarctos malayanus;Cambodia;16;67
Helarctos malayanus;Vietnam;12;67
Helarctos malayanus;Laos;6;67
Helarctos malayanus;Australia;4;67
Helarctos malayanus;Singapore;4;67
Helarctos malayanus;Bangladesh;3;67
Helarctos malayanus;Canada;3;67
Helarctos malayanus;India;3;67
Helarctos malayanus;Russia;3;67
Helarctos malayanus;Tanzania;3;67
Helarctos malayanus;Brunei;1;67
Helarctos malayanus;Finland;1;67
Helarctos malayanus;Guinea;1;67
Helarctos malayanus;Japan;1;67
Helarctos malayanus;Kuwait;1;67
Helarctos malayanus;Mongolia;1;67
Helarctos malayanus;Myanmar;1;67
Helarctos malayanus;Netherlands;1;67
Helarctos malayanus;New Zealand;1;67
Helarctos malayanus;South Africa;1;67
Helarctos malayanus;Sri Lanka;1;67
Loxodonta africana;Botswana;69;73
Loxodonta africana;Kenya;43;73
Loxodonta africana;China;26;73
Loxodonta africana;Zimbabwe;25;73
Loxodonta africana;Nigeria;22;73
Loxodonta africana;Tanzania;21;73
Loxodonta africana;South Africa;20;73
Loxodonta africana;Namibia;16;73
Loxodonta africana;Canada;15;73
Loxodonta africana;India;14;73
Loxodonta africana;Gabon;11;73
Loxodonta africana;Germany;10;73
Loxodonta africana;Myanmar;10;73
Loxodonta africana;Zambia;10;73
Loxodonta africana;Cameroon;9;73
Loxodonta africana;Mozambique;9;73
Loxodonta africana;Nepal;9;73
Loxodonta africana;Uganda;7;73
Loxodonta africana;Chad;5;73
Loxodonta africana;Georgia;5;73
Loxodonta africana;Malawi;5;73
Loxodonta africana;Brazil;4;73
Loxodonta africana;Swaziland;4;73
Loxodonta africana;Angola;3;73
Loxodonta africana;Australia;3;73
Loxodonta africana;Chile;3;73
Loxodonta africana;France;3;73
Loxodonta africana;Malaysia;3;73
Loxodonta africana;Mali;3;73
Loxodonta africana;Niger;3;73
Loxodonta africana;Russia;3;73
Loxodonta africana;Switzerland;3;73
Loxodonta africana;Belize;2;73
Loxodonta africana;Indonesia;2;73
Loxodonta africana;Laos;2;73
Loxodonta africana;Libya;2;73
Loxodonta africana;New Zealand;2;73
Loxodonta africana;Puerto Rico;2;73
Loxodonta africana;Somalia;2;73
Loxodonta africana;Thailand;2;73
Loxodonta africana;Belgium;1;73
Loxodonta africana;Bulgaria;1;73
Loxodonta africana;Cambodia;1;73
Loxodonta africana;Colombia;1;73
Loxodonta africana;Cuba;1;73
Loxodonta africana;Ethiopia;1;73
Loxodonta africana;Finland;1;73
Loxodonta africana;Greenland;1;73
Loxodonta africana;Hong Kong;1;73
Loxodonta africana;Iran;1;73
Loxodonta africana;Israel;1;73
Loxodonta africana;Japan;1;73
Loxodonta africana;Jordan;1;73
Loxodonta africana;Mauritius;1;73
Loxodonta africana;Mexico;1;73
Loxodonta africana;Philippines;1;73
Loxodonta africana;Portugal;1;73
Loxodonta africana;Seychelles;1;73
Loxodonta africana;Spain;1;73
Loxodonta africana;Taiwan;1;73
Loxodonta africana;United Kingdom;1;73
Loxodonta africana;United States;1;73
Loxodonta africana;Venezuela;1;73
Loxodonta africana;Vietnam;1;73
Loxodonta africana;Yemen;1;73
Orcaella brevirostris;Myanmar;78;55
Orcaella brevirostris;Cambodia;58;55
Orcaella brevirostris;Laos;37;55
Orcaella brevirostris;Australia;16;55
Orcaella brevirostris;India;13;55
Orcaella brevirostris;Indonesia;12;55
Orcaella brevirostris;Bangladesh;11;55
Orcaella brevirostris;Thailand;7;55
Orcaella brevirostris;China;6;55
Orcaella brevirostris;Canada;2;55
Orcaella brevirostris;Mexico;2;55
Orcaella brevirostris;Philippines;2;55
Orcaella brevirostris;Hong Kong;1;55
Orcaella brevirostris;Italy;1;55
Orcaella brevirostris;Malaysia;1;55
Orcaella brevirostris;Vietnam;1;55
Panthera leo;India;151;133
Panthera leo;South Africa;55;133
Panthera leo;Tanzania;37;133
Panthera leo;Iran;31;133
Panthera leo;Mozambique;20;133
Panthera leo;Kenya;12;133
Panthera leo;Botswana;8;133
Panthera leo;Namibia;8;133
Panthera leo;Switzerland;6;133
Panthera leo;China;5;133
Panthera leo;Turkey;5;133
Panthera leo;Zimbabwe;5;133
Panthera leo;Greece;4;133
Panthera leo;Ireland;4;133
Panthera leo;Morocco;4;133
Panthera leo;Russia;4;133
Panthera leo;Niger;3;133
Panthera leo;Spain;3;133
Panthera leo;Australia;2;133
Panthera leo;Nigeria;2;133
Panthera leo;Senegal;2;133
Panthera leo;Tunisia;2;133
Panthera leo;Vietnam;2;133
Panthera leo;Zambia;2;133
Panthera leo;Angola;1;133
Panthera leo;Argentina;1;133
Panthera leo;Armenia;1;133
Panthera leo;Azerbaijan;1;133
Panthera leo;Benin;1;133
Panthera leo;Burkina Faso;1;133
Panthera leo;Cuba;1;133
Panthera leo;Cyprus;1;133
Panthera leo;Denmark;1;133
Panthera leo;Ethiopia;1;133
Panthera leo;Germany;1;133
Panthera leo;Israel;1;133
Panthera leo;Japan;1;133
Panthera leo;Kazakhstan;1;133
Panthera leo;New Zealand;1;133
Panthera leo;Norway;1;133
Panthera leo;Panama;1;133
Panthera leo;Romania;1;133
Panthera leo;Saudi Arabia;1;133
Panthera leo;South Sudan;1;133
Panthera leo;Sweden;1;133
Panthera pardus;India;28;81
Panthera pardus;Sri Lanka;9;81
Panthera pardus;China;4;81
Panthera pardus;Hungary;4;81
Panthera pardus;Kazakhstan;4;81
Panthera pardus;Nepal;4;81
Panthera pardus;Afghanistan;3;81
Panthera pardus;Armenia;3;81
Panthera pardus;Bangladesh;3;81
Panthera pardus;Pakistan;3;81
Panthera pardus;South Africa;3;81
Panthera pardus;Bhutan;2;81
Panthera pardus;Georgia;2;81
Panthera pardus;Kenya;2;81
Panthera pardus;Mongolia;2;81
Panthera pardus;Russia;2;81
Panthera pardus;Algeria;1;81
Panthera pardus;Argentina;1;81
Panthera pardus;Brazil;1;81
Panthera pardus;Canada;1;81
Panthera pardus;Germany;1;81
Panthera pardus;Indonesia;1;81
Panthera pardus;Maldives;1;81
Panthera pardus;Myanmar;1;81
Panthera pardus;Singapore;1;81
Panthera pardus;Tajikistan;1;81
Panthera pardus;Tanzania;1;81
Panthera pardus;Uzbekistan;1;81
Panthera tigris;Russia;80;98
Panthera tigris;China;78;98
Panthera tigris;India;22;98
Panthera tigris;Kenya;16;98
Panthera tigris;North Korea;15;98
Panthera tigris;Iran;14;98
Panthera tigris;Thailand;13;98
Panthera tigris;Malaysia;9;98
Panthera tigris;Laos;8;98
Panthera tigris;Nepal;8;98
Panthera tigris;Zimbabwe;7;98
Panthera tigris;Australia;5;98
Panthera tigris;Bhutan;5;98
Panthera tigris;Hong Kong;5;98
Panthera tigris;Rwanda;5;98
Panthera tigris;Vietnam;5;98
Panthera tigris;Botswana;4;98
Panthera tigris;Cambodia;4;98
Panthera tigris;Indonesia;4;98
Panthera tigris;Myanmar;4;98
Panthera tigris;Bangladesh;3;98
Panthera tigris;Germany;2;98
Panthera tigris;Italy;2;98
Panthera tigris;Mozambique;2;98
Panthera tigris;South Korea;2;98
Panthera tigris;Tanzania;2;98
Panthera tigris;Turkey;2;98
Panthera tigris;Afghanistan;1;98
Panthera tigris;Bulgaria;1;98
Panthera tigris;Denmark;1;98
Panthera tigris;France;1;98
Panthera tigris;Georgia;1;98
Panthera tigris;Hungary;1;98
Panthera tigris;Japan;1;98
Panthera tigris;Malta;1;98
Panthera tigris;Mongolia;1;98
Panthera tigris;Norway;1;98
Panthera tigris;Singapore;1;98
Panthera tigris;Slovakia;1;98
Panthera tigris;Somalia;1;98
Panthera tigris;South Africa;1;98
Panthera tigris;Spain;1;98
Panthera tigris;Sweden;1;98
Rhinoceros unicornis;India;232;113
Rhinoceros unicornis;Nepal;219;113
Rhinoceros unicornis;China;77;113
Rhinoceros unicornis;Vietnam;24;113
Rhinoceros unicornis;South Africa;22;113
Rhinoceros unicornis;Indonesia;19;113
Rhinoceros unicornis;Myanmar;11;113
Rhinoceros unicornis;Malaysia;8;113
Rhinoceros unicornis;Australia;7;113
Rhinoceros unicornis;Bangladesh;7;113
Rhinoceros unicornis;Kenya;7;113
Rhinoceros unicornis;Pakistan;6;113
Rhinoceros unicornis;Sudan;6;113
Rhinoceros unicornis;Thailand;6;113
Rhinoceros unicornis;Singapore;4;113
Rhinoceros unicornis;Bhutan;3;113
Rhinoceros unicornis;France;3;113
Rhinoceros unicornis;Netherlands;3;113
Rhinoceros unicornis;Japan;2;113
Rhinoceros unicornis;Mexico;2;113
Rhinoceros unicornis;Switzerland;2;113
Rhinoceros unicornis;Yemen;2;113
Rhinoceros unicornis;Zimbabwe;2;113
Rhinoceros unicornis;Argentina;1;113
Rhinoceros unicornis;Belgium;1;113
Rhinoceros unicornis;Brunei;1;113
Rhinoceros unicornis;Bulgaria;1;113
Rhinoceros unicornis;Cameroon;1;113
Rhinoceros unicornis;Chad;1;113
Rhinoceros unicornis;Italy;1;113
Rhinoceros unicornis;Laos;1;113
Rhinoceros unicornis;Namibia;1;113
Rhinoceros unicornis;Nicaragua;1;113
Rhinoceros unicornis;Portugal;1;113
Rhinoceros unicornis;Russia;1;113
Rhinoceros unicornis;Saudi Arabia;1;113
Rhinoceros unicornis;Sweden;1;113
Rhinoceros unicornis;Uganda;1;113
Rhinoceros unicornis;United Arab Emirates;1;113
Rhinoceros unicornis;United States;1;113
Tremarctos ornatus;Peru;76;67
Tremarctos ornatus;Colombia;63;67
Tremarctos ornatus;Bolivia;32;67
Tremarctos ornatus;Ecuador;17;67
Tremarctos ornatus;Venezuela;14;67
Tremarctos ornatus;Argentina;11;67
Tremarctos ornatus;Mexico;7;67
Tremarctos ornatus;France;5;67
Tremarctos ornatus;Australia;4;67
Tremarctos ornatus;Brazil;4;67
Tremarctos ornatus;Belize;3;67
Tremarctos ornatus;India;2;67
Tremarctos ornatus;Nepal;2;67
Tremarctos ornatus;Bangladesh;1;67
Tremarctos ornatus;Bhutan;1;67
Tremarctos ornatus;Canada;1;67
Tremarctos ornatus;China;1;67
Tremarctos ornatus;Germany;1;67
Tremarctos ornatus;Indonesia;1;67
Tremarctos ornatus;Italy;1;67
Tremarctos ornatus;Kenya;1;67
Tremarctos ornatus;Norway;1;67
Tremarctos ornatus;Romania;1;67
Tremarctos ornatus;Sri Lanka;1;67
Tremarctos ornatus;Suriname;1;67
Ursus arctos;Canada;9;66
Ursus arctos;Mali;8;66
Ursus arctos;Pakistan;5;66
Ursus arctos;Spain;5;66
Ursus arctos;Armenia;4;66
Ursus arctos;China;4;66
Ursus arctos;Italy;2;66
Ursus arctos;Croatia;1;66
Ursus arctos;France;1;66
Ursus arctos;Ireland;1;66
Ursus arctos;Poland;1;66
Ursus arctos;Slovenia;1;66
Ursus thibetanus;China;121;95
Ursus thibetanus;Vietnam;49;95
Ursus thibetanus;India;32;95
Ursus thibetanus;Laos;26;95
Ursus thibetanus;Russia;26;95
Ursus thibetanus;Iran;20;95
Ursus thibetanus;Myanmar;15;95
Ursus thibetanus;Malaysia;14;95
Ursus thibetanus;South Korea;14;95
Ursus thibetanus;Japan;12;95
Ursus thibetanus;Pakistan;12;95
Ursus thibetanus;Thailand;12;95
Ursus thibetanus;New Zealand;11;95
Ursus thibetanus;Bhutan;10;95
Ursus thibetanus;Nepal;9;95
Ursus thibetanus;Hong Kong;4;95
Ursus thibetanus;Taiwan;4;95
Ursus thibetanus;Afghanistan;3;95
Ursus thibetanus;Cambodia;3;95
Ursus thibetanus;Indonesia;3;95
Ursus thibetanus;Australia;2;95
Ursus thibetanus;Austria;2;95
Ursus thibetanus;Bangladesh;2;95
Ursus thibetanus;France;2;95
Ursus thibetanus;Germany;2;95
Ursus thibetanus;Mongolia;2;95
Ursus thibetanus;Brazil;1;95
Ursus thibetanus;Canada;1;95
Ursus thibetanus;Israel;1;95
Ursus thibetanus;Italy;1;95
Ursus thibetanus;Kuwait;1;95
Ursus thibetanus;Namibia;1;95
Ursus thibetanus;North Korea;1;95
Ursus thibetanus;Singapore;1;95
Ursus thibetanus;South Africa;1;95
Ursus thibetanus;Spain;1;95
Ursus thibetanus;Sri Lanka;1;95
Ursus thibetanus;United States;1;95
